city_name;distrist_id
ADANA;1
ANTALYA;1
MERSIN;1
HATAY;1
KAHRAMANMARAS;1
BURDUR;1
ISPARTA;1
OSMANIYE;1
IZMIR;2
MUGLA;2
AYDIN;2
DENIZLI;2
USAK;2
MANISA;2
KUTAHYA;2
AFYONKARAHISAR;2
KIRKLARELI;3
ISTANBUL;3
BALIKESIR;3
BURSA;3
CANAKKALE;3
SAKARYA;3
KOCAELI;3
YALOVA;3
TEKIRDAG;3
EDIRNE;3
BILECIK;3
TRABZON;4
SAMSUN;4
SINOP;4
GUMUSHANE;4
GIRESUN;4
RIZE;4
ORDU;4
ARTVIN;4
CORUM;4
KASTAMONU;4
KARABUK;4
BARTIN;4
ZONGULDAK;4
DUZCE;4
BOLU;4
TOKAT;4
AMASYA;4
BAYBURT;4
ANKARA;5
KONYA;5
ESKISEHIR;5
YOZGAT;5
SIVAS;5
KIRSEHIR;5
NIGDE;5
AKSARAY;5
NEVSEHIR;5
KAYSERI;5
KARAMAN;5
KIRIKKALE;5
CANKIRI;5
MALATYA;6
BINGOL;6
VAN;6
HAKKARI;6
AGRI;6
IGDIR;6
MUS;6
BITLIS;6
ERZINCAN;6
ELAZIG;6
ARDAHAN;6
KARS;6
TUNCELI;6
ERZURUM;6
DIYARBAKIR;7
SANLIURFA;7
MARDIN;7
GAZIANTEP;7
ADIYAMAN;7
SIIRT;7
KILIS;7
SIRNAK;7
BATMAN;7